wav,duration
train-clean-100/2691/156745/2691_156745_000008_000005.wav,13.52
train-clean-100/2691/156745/2691_156745_000023_000001.wav,6.7000416666666665
train-clean-100/2691/156745/2691_156745_000022_000000.wav,2.5400416666666668
train-clean-100/2691/156745/2691_156745_000019_000003.wav,3.94
train-clean-100/2691/156745/2691_156745_000016_000002.wav,3.47
train-clean-100/2691/156745/2691_156745_000002_000000.wav,1.29
train-clean-100/2691/156745/2691_156745_000019_000002.wav,10.04
train-clean-100/2691/156745/2691_156745_000008_000007.wav,3.46
train-clean-100/2691/156745/2691_156745_000008_000000.wav,3.34
train-clean-100/2691/156750/2691_156750_000002_000000.wav,1.23
train-clean-100/2691/156750/2691_156750_000006_000002.wav,6.83
train-clean-100/2691/156750/2691_156750_000028_000003.wav,5.709958333333334
train-clean-100/2691/156750/2691_156750_000030_000001.wav,5.94
train-clean-100/2691/156750/2691_156750_000009_000001.wav,3.63
train-clean-100/2691/156750/2691_156750_000010_000001.wav,8.28
train-clean-100/2691/156750/2691_156750_000017_000001.wav,1.84
train-clean-100/2691/156750/2691_156750_000006_000003.wav,17.56
train-clean-100/2691/156750/2691_156750_000008_000000.wav,3.57
train-clean-100/2691/156750/2691_156750_000009_000000.wav,22.12
train-clean-100/2691/156750/2691_156750_000014_000001.wav,3.06
train-clean-100/2691/156750/2691_156750_000029_000005.wav,1.8499583333333334
train-clean-100/2691/156750/2691_156750_000029_000002.wav,3.5700416666666666
train-clean-100/2691/156750/2691_156750_000006_000001.wav,5.76
train-clean-100/2691/156750/2691_156750_000015_000004.wav,7.19
train-clean-100/2691/156750/2691_156750_000027_000000.wav,10.350041666666666
train-clean-100/2691/156750/2691_156750_000015_000003.wav,6.83
train-clean-100/2691/156750/2691_156750_000016_000003.wav,2.64
train-clean-100/2691/156750/2691_156750_000028_000002.wav,3.0399583333333333
train-clean-100/2691/156750/2691_156750_000027_000002.wav,2.4899583333333335
train-clean-100/2691/156755/2691_156755_000016_000001.wav,12.16
train-clean-100/2691/156755/2691_156755_000024_000000.wav,6.62
train-clean-100/2691/156755/2691_156755_000021_000001.wav,16.18
train-clean-100/2691/156755/2691_156755_000010_000002.wav,9.49
train-clean-100/2691/156755/2691_156755_000022_000003.wav,6.089958333333334
train-clean-100/2691/156755/2691_156755_000017_000000.wav,5.15
train-clean-100/2691/156755/2691_156755_000002_000000.wav,9.11
train-clean-100/2691/156755/2691_156755_000016_000000.wav,7.08
train-clean-100/2691/156755/2691_156755_000014_000000.wav,23.21
train-clean-100/2691/156755/2691_156755_000017_000004.wav,8.21
train-clean-100/2691/156755/2691_156755_000013_000000.wav,8.38
train-clean-100/2691/156755/2691_156755_000006_000000.wav,2.86
train-clean-100/2691/156755/2691_156755_000020_000001.wav,7.31
train-clean-100/2691/156755/2691_156755_000020_000002.wav,5.92
train-clean-100/2691/156755/2691_156755_000008_000000.wav,7.09
train-clean-100/2691/156755/2691_156755_000019_000004.wav,5.91
train-clean-100/2691/156755/2691_156755_000021_000000.wav,5.659958333333333
train-clean-100/2691/156755/2691_156755_000027_000004.wav,2.01
train-clean-100/2691/156755/2691_156755_000005_000000.wav,6.31
train-clean-100/2691/156755/2691_156755_000003_000000.wav,11.23
train-clean-100/2691/156755/2691_156755_000020_000000.wav,9.130041666666667
