pitch_mean|pitch_range|intensity_mean|jitter|shimmer|nhr|duration|wav|text_normalized|pitch_mean_norm|pitch_range_norm|intensity_mean_norm|jitter_norm|shimmer_norm|nhr_norm|duration_norm
2.3031789842749584|0.3534699450630452|4.27523581615722|-4.38306977770354|-2.4018427554917126|-1.821678616386031|1.3324723205958133|wavs/LJ001-0076.wav|and things got worse and worse through the whole of the seventeenth century, so that in the eighteenth printing was very miserably performed.|-0.12656829403916614|0.0753794662457723|0.42486030146918763|0.1369934159845485|-0.4477511078527412|0.032922318519536864|-0.15727921726468808
2.291716627510721|0.22966772746663144|4.234464638430331|-4.559384377892385|-2.0777380554671763|-1.9184117203535036|1.406593186855375|wavs/LJ008-0250.wav|and lay disregarded beside the body of the poor dog which, while searching for its master in the crowd,|-0.2423540244730693|-0.39934043121054474|-0.34305468075554846|-0.2165258492693769|0.5240709301436848|-0.1445020933889879|0.02353570623313539
2.3264496614198933|0.2643354855550819|4.240097820326744|-4.516013718644672|-2.1441031605168037|-1.8496513284439051|1.4911158434478724|wavs/LJ006-0073.wav|of his many manifest duties, but I shall here confine myself to animadverting on his neglect as regards the appropriation of his prison.|0.10849788007647132|-0.26640683046972613|-0.23695510215544946|-0.12956558860799217|0.32507637179172866|-0.018384233041381592|0.22972538610123516
2.2857199681822276|0.24718183179097197|4.228858882618021|-4.5230289095327105|-2.295015840818772|-1.8021068188827587|1.3916810493347713|wavs/LJ032-0044.wav|shows an imprint made by the cash register which recorded the receipt of twenty-one dollars, forty-five cents on March thirteen, nineteen sixty-three.|-0.30292861613812416|-0.33218255657542173|-0.448637695889471|-0.14363138421254917|-0.12743255053941682|0.06882021199743549|-0.012841863822977362
2.275358834580542|0.7562613549957093|4.259064787877915|-4.517044836352351|-2.1373858866273614|-1.4673048702955904|1.5612688243664525|wavs/LJ036-0156.wav|He was in error, however.|-0.40759046246430086|1.0|0.1202830097156482|-0.13163302927381737|0.34521799516381746|0.6829020143748403|0.40086081014656605
2.294224126126946|0.3868807998531971|4.276806506822591|-4.0734445206028695|-2.3048818454663786|-1.3166936743900548|1.329046688045151|wavs/LJ014-0314.wav|Pries at length was discovered|-0.21702480424259507|0.20349346830358583|0.4544438691173427|0.7578069690144689|-0.1570155857215455|0.9591477024007804|-0.1656359124685809
2.249033414380214|0.3019773435799329|4.2184406490622335|-4.388792881299904|-2.156137511116772|-1.6879509573052112|1.5301380486903164|wavs/LJ011-0146.wav|and no person ever after suffered death for any variety of this crime.|-0.6735137860502887|-0.12206903645802869|-0.6448625312228251|0.1255183176308574|0.2889915907776319|0.27820082499955645|0.3249185133768988
2.2876512556822632|0.3751615104623931|4.230944200253752|-4.081116917830573|-2.259107162353557|-1.5906554131347335|1.2993472341156376|wavs/LJ026-0098.wav|The circulatory system distributes these foods. In animals foods prepared for absorption in the stomach and intestine (by digestion)|-0.28341992883507516|0.15855582529625623|-0.40936125737444373|0.7424234430457237|-0.019761032399809753|0.4566568446841064|-0.2380865564125778
2.341254987976476|0.5170730367544158|4.2429539813370845|-4.376680043662512|-2.351249342160829|-1.717535503801813|1.4125196101827837|wavs/LJ039-0147.wav|sighting with the telescopic lens and operating the bolt.|0.2580522505192768|0.7027159099631886|-0.18316002058634007|0.149805140486845|-0.2960476797670256|0.22393790415391712|0.03799298168926102
2.3224487014737885|0.35587064265471646|4.2555253037719165|-4.593751642148407|-2.130768801369129|-1.8236093339501063|1.2396594751450603|wavs/LJ028-0171.wav|upon which was raised a second tower, and on that a third, and so on up to eight.|0.06808262522749597|0.08458494686371276|0.053617707757735555|-0.28543386934011106|0.36505920475061027|0.029381065170707155|-0.38369248516990995
